,Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50
393,1996-07-17,TATAMOTORS,529.5,550,529.5,547.9,528,189050,103219305,545.99,,3.768939394,523.6475,507.527
394,1996-07-18,TATAMOTORS,550,564.75,550,556.25,547.9,89700,50034655,557.8,,1.52400073,525.0875,509.194
338,1996-07-19,TATAMOTORS,570,570,551.25,556.75,556.25,97850,54411755,556.07,,0.08988764045,526.895,511.119
395,1996-07-19,TATAMOTORS,570,570,551.25,556.75,556.25,97850,54411755,556.07,,0.08988764045,528.8125,512.994
339,1996-07-22,TATAMOTORS,564,564,552.1,556.9,559.8,22850,12728440,557.04,,-0.5180421579,531.075,514.82
340,1996-07-23,TATAMOTORS,556.25,558.5,525.25,531.45,556.9,94600,51447537.5,543.84,,-4.569940743,532.2225,515.705
341,1996-07-24,TATAMOTORS,530.5,537.9,514.5,525.55,531.45,122800,64602112.5,526.08,,-1.110170289,532.84,516.339
342,1996-07-25,TATAMOTORS,525,531,521.05,522.2,525.55,44050,23133550,525.17,,-0.6374274569,533.195,516.918
343,1996-07-26,TATAMOTORS,520,524.75,516.4,521.6,522.2,39750,20663825,519.84,,-0.1148985063,533.735,517.735
344,1996-07-29,TATAMOTORS,521,526.5,505.1,511.4,521.6,66350,34064532.5,513.41,,-1.955521472,533.33,518.373
345,1996-07-30,TATAMOTORS,509,509.95,472,502.25,511.4,109650,54792272.5,499.7,,-1.789206101,532.8075,518.795
346,1996-07-31,TATAMOTORS,509,516,492,512.8,502.25,131500,66305465,504.22,,2.100547536,532.36,519.441
347,1996-08-01,TATAMOTORS,512,517,492.25,493.75,512.8,138000,69776827.5,505.63,,-3.714898596,530.755,519.621
348,1996-08-02,TATAMOTORS,490.25,496,477.05,493.8,493.75,196050,96380710,491.61,,0.01012658228,528.8875,519.882
349,1996-08-05,TATAMOTORS,495,500,490,497.15,493.8,69150,34333740,496.51,,0.6784123127,527.08,520.303
350,1996-08-06,TATAMOTORS,496,508,493,502.6,497.15,108400,54106952.5,499.14,,1.096248617,525.735,520.571
351,1996-08-07,TATAMOTORS,502.8,512.4,498.3,500.25,502.6,53750,27027902.5,502.84,,-0.4675686431,524.1425,520.895
352,1996-08-08,TATAMOTORS,506.9,506.9,498.25,499.5,500.25,23250,11636500,500.49,,-0.1499250375,522.4475,521.189
353,1996-08-09,TATAMOTORS,499,504,495.15,500.15,499.5,62800,31414467.5,500.23,,0.1301301301,520.85,521.39
354,1996-08-12,TATAMOTORS,501,502,495,500.55,500.15,28300,14133025,499.4,,0.0799760072,519.4775,521.543
355,1996-08-13,TATAMOTORS,497,501.5,492,493.8,500.55,100150,49925980,498.51,,-1.348516632,516.7725,521.491
356,1996-08-14,TATAMOTORS,495.5,495.5,488,490.2,493.8,32500,15987425,491.92,,-0.7290400972,513.47,521.137
357,1996-08-16,TATAMOTORS,492,492,466,469.6,490.2,79900,38176395,477.8,,-4.202366381,509.1125,520.193
358,1996-08-19,TATAMOTORS,460.1,465.95,452,454.3,469.6,45900,21124240,460.22,,-3.258091993,503.99,518.734
359,1996-08-20,TATAMOTORS,455,463.95,452.55,462.15,454.3,71450,32957222.5,461.26,,1.727933084,499.2525,517.373
360,1996-08-21,TATAMOTORS,473,483,470.05,480.45,462.15,61400,29330292.5,477.69,,3.959753327,496.7025,516.574
361,1996-08-22,TATAMOTORS,484.75,492.75,478,490.15,480.45,122350,59634622.5,487.41,,2.018940577,494.9325,515.735
362,1996-08-23,TATAMOTORS,486,497.75,486,493.95,490.15,54150,26736982.5,493.76,,0.7752728757,493.52,514.873
363,1996-08-26,TATAMOTORS,494,496.85,493,494.95,493.95,39150,19377872.5,494.96,,0.2024496407,492.1875,514.168
364,1996-08-27,TATAMOTORS,493.2,503,490.55,500.5,494.95,97300,48374857.5,497.17,,1.121325386,491.6425,513.428
310,1996-08-28,TATAMOTORS,501,503.5,492,501.95,500.5,40250,20146610,500.54,,0.2897102897,491.6275,512.932
365,1996-08-28,TATAMOTORS,501,503.5,492,501.95,500.5,40250,20146610,500.54,,0.2897102897,491.085,512.422
311,1996-08-29,TATAMOTORS,501.25,503.95,498,498.55,501.95,26450,13256242.5,501.18,,-0.6773583026,491.325,511.981
312,1996-08-30,TATAMOTORS,500,511.75,500,509.25,498.55,139350,70498957.5,505.91,,2.14622405,492.0975,511.798
313,1996-09-02,TATAMOTORS,519,523,506,517.95,509.25,114350,59150335,517.27,,1.708394698,493.1375,511.924
314,1996-09-03,TATAMOTORS,519,522,491.25,497.95,517.95,140150,71106682.5,507.36,,-3.861376581,492.905,511.713
315,1996-09-04,TATAMOTORS,498,507.85,495,504.65,497.95,79950,40198915,502.8,,1.345516618,493.125,511.542
316,1996-09-05,TATAMOTORS,508.85,514.1,505.5,509.9,504.65,116600,59526275,510.52,,1.040324978,493.645,511.438
317,1996-09-06,TATAMOTORS,510.3,512.9,504,505.8,509.9,49650,25202750,507.61,,-0.8040792312,493.9275,511.338
318,1996-09-09,TATAMOTORS,503,505,481,484.45,505.8,176500,86594472.5,490.62,,-4.221035983,493.1225,510.637
